School_Name,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,Percentage_increase,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary
University of New Mexico (UNM),State,41600 ,81600 ,0.96 ,41800 ,59100 ,105000 ,141000 
University of North Carolina at Chapel Hill (UNCH),State,42900 ,81500 ,0.90 ,43400 ,57500 ,117000 ,155000 
"University of Alabama, Tuscaloosa",State,41300 ,81400 ,0.97 ,40100 ,56500 ,117000 ,161000 
"University of California, Riverside (UCR)",State,46800 ,81300 ,0.74 ,37200 ,59900 ,109000 ,134000 
State University of New York (SUNY) at Geneseo,State,42300 ,81300 ,0.92 ,39300 ,47600 ,117000 ,173000 
University of Missouri - Columbia,State,41700 ,81000 ,0.94 ,43500 ,57100 ,111000 ,156000 
University of Nebraska,State,45700 ,80900 ,0.77 ,42200 ,56600 ,113000 ,156000 
University of Texas at Arlington (UTA),State,45400 ,80800 ,0.78 ,46400 ,61200 ,106000 ,138000 
Northern Illinois University (NIU),State,43600 ,80800 ,0.85 ,43900 ,60200 ,111000 ,161000 
Oklahoma State University,State,42800 ,80700 ,0.89 ,40100 ,56500 ,114000 ,151000 
University of North Dakota,State,44000 ,80600 ,0.83 ,43400 ,56400 ,111000 ,157000 
"California State University, Northridge (CSUN)",State,45500 ,80400 ,0.77 ,44500 ,57800 ,108000 ,153000 
University of Houston (UH),State,46000 ,79900 ,0.74 ,42000 ,56200 ,106000 ,141000 
University of Mississippi,State,41400 ,79700 ,0.93 ,40400 ,53500 ,108000 ,186000 
New Mexico State University,State,44300 ,79500 ,0.79 ,37400 ,53800 ,102000 ,131000 
Lamar University,State,46500 ,79400 ,0.71 ,38700 ,51600 ,114000 ,158000 
Mississippi State University (MSU),State,44500 ,79300 ,0.78 ,43300 ,58800 ,108000 ,151000 
Colorado State University (CSU),State,44800 ,79000 ,0.76 ,43800 ,57100 ,112000 ,150000 
Kansas State University (KSU),State,43300 ,79000 ,0.82 ,37200 ,54100 ,106000 ,138000 
University of Wyoming (UW),State,44500 ,78700 ,0.77 ,41500 ,54000 ,105000 ,145000 
Utah State University,State,43800 ,78700 ,0.80 ,41600 ,55400 ,101000 ,132000 
University of Wisconsin (UW) - Platteville,State,45800 ,78500 ,0.71 ,48400 ,61200 ,100000 ,139000 
University of Oregon,State,42200 ,78400 ,0.86 ,38100 ,56200 ,117000 ,186000 
University of Kentucky (UK),State,42800 ,78300 ,0.83 ,43000 ,57300 ,107000 ,149000 
University of New Hampshire (UNH),State,41800 ,78300 ,0.87 ,41700 ,56400 ,114000 ,147000 
University of Massachusetts (UMass) - Boston,State,45600 ,78200 ,0.71 ,36300 ,53800 ,109000 ,151000 
West Virginia University (WVU),State,43100 ,78100 ,0.81 ,39700 ,55700 ,106000 ,141000 
University of Maryland Baltimore County (UMBC),State,47000 ,77800 ,0.66 ,46900 ,59100 ,105000 ,130000 
North Dakota State University (NDSU),State,45100 ,77800 ,0.73 ,39000 ,55800 ,100000 ,123000 
State University of New York (SUNY) at Oswego,State,38000 ,77800 ,1.05 ,40400 ,53000 ,115000 ,169000 
University of Massachusetts (UMass) - Dartmouth,State,43200 ,77700 ,0.80 ,43300 ,56200 ,107000 ,132000 
Montana State University - Bozeman,State,46600 ,77500 ,0.66 ,40200 ,58100 ,111000 ,151000 
State University of New York (SUNY) at Oneonta,State,37500 ,76700 ,1.05 ,40000 ,54300 ,97700 ,155000 
University of Louisiana (UL) at Lafayette,State,41100 ,76300 ,0.86 ,42000 ,54500 ,107000 ,163000 
State University of New York (SUNY) at Plattsburgh,State,40800 ,76200 ,0.87 ,38400 ,54100 ,105000 ,136000 
Wayne State University,State,42800 ,76100 ,0.78 ,40100 ,56200 ,101000 ,139000 
University of Hawaii,State,43800 ,76000 ,0.74 ,40400 ,56300 ,104000 ,128000 
University of Toledo,State,43100 ,75900 ,0.76 ,40100 ,54100 ,100000 ,133000 
Florida International University (FIU),State,43200 ,75500 ,0.75 ,40500 ,55800 ,98200 ,136000 
University of Wisconsin (UW) - Whitewater,State,40800 ,75500 ,0.85 ,38200 ,53500 ,99300 ,150000 
Western Washington University,State,42700 ,75400 ,0.77 ,41300 ,56700 ,99200 ,119000 
Minnesota State University - Mankato,State,43300 ,74700 ,0.73 ,39500 ,53800 ,95700 ,140000 
University of Tennessee,State,43800 ,74600 ,0.70 ,41900 ,53200 ,106000 ,153000 
University of Wisconsin (UW) - Milwaukee,State,42300 ,74600 ,0.76 ,40600 ,54000 ,93700 ,123000 
University of Arkansas - Monticello (UAM),State,39200 ,74500 ,0.90 ,32800 ,46100 ,110000 ,161000 
Penn State - Harrisburg,State,45700 ,74000 ,0.62 ,44000 ,53100 ,104000 ,150000 
University of North Carolina at Charlotte (UNCC),State,43100 ,74000 ,0.72 ,38200 ,53200 ,99500 ,133000 
Georgia State University,State,41800 ,74000 ,0.77 ,43000 ,55300 ,99900 ,145000 
Western Michigan University (WMU),State,42300 ,73800 ,0.74 ,40100 ,52500 ,103000 ,135000 
South Dakota State University (SDSU),State,41100 ,73500 ,0.79 ,34100 ,49900 ,99400 ,129000 
Idaho State University,State,44900 ,73400 ,0.63 ,35400 ,49600 ,101000 ,143000 
Ohio University,State,42200 ,73400 ,0.74 ,36600 ,52800 ,106000 ,150000 
Illinois State University,State,42000 ,73400 ,0.75 ,39100 ,55200 ,105000 ,142000 
Cleveland State University,State,43500 ,73100 ,0.68 ,39500 ,51600 ,97000 ,137000 
Florida State University (FSU),State,42100 ,73000 ,0.73 ,39600 ,52800 ,107000 ,156000 
"University of Alaska, Anchorage",State,45900 ,72600 ,0.58 ,39800 ,56600 ,99300 ,137000 
Fitchburg State College,State,42400 ,72600 ,0.71 ,43300 ,56100 ,99600 ,151000 
University of Nebraska at Omaha,State,41500 ,72600 ,0.75 ,39500 ,54400 ,97400 ,126000 
Southern Illinois University Carbondale,State,43000 ,72500 ,0.69 ,38300 ,51300 ,99300 ,139000 
